cliente_id,edad,genero,antiguedad_meses,score_crediticio,ingresos
1,59,F,33,701,137576
2,49,F,108,408,669640
3,35,F,43,840,756016
4,63,F,17,613,796595
5,28,M,7,367,314198
6,41,M,59,378,747224
7,59,M,27,312,511322
8,39,M,36,477,307077
9,43,F,105,352,804551
10,31,F,19,355,525474
11,31,M,15,624,669536
12,44,M,70,354,829355
13,56,M,57,717,678614
14,60,F,100,880,655842
15,44,F,69,869,740611
16,23,F,53,434,432972
17,42,M,109,356,895312
18,22,M,69,610,842549
19,44,M,2,834,531467
20,64,F,107,453,156084
21,50,F,18,886,331853
22,58,F,32,732,529664
23,22,M,111,888,248750
24,41,F,113,863,774498
25,53,M,29,749,362656
26,32,M,49,571,379977
27,42,M,84,551,827789
28,64,F,83,372,307904
29,45,F,116,605,251655
30,69,F,80,795,395114
31,47,F,75,355,427813
32,62,F,60,502,809169
33,48,F,28,519,792890
34,36,M,86,439,308199
35,35,F,27,851,606461
36,67,F,81,847,494798
37,64,M,8,733,240891
38,23,F,72,850,550298
39,57,F,23,689,566881
40,27,M,32,620,455778
41,41,F,108,788,518268
42,29,M,15,823,357626
43,59,M,91,553,819777
44,38,M,68,812,821183
45,24,F,40,383,212676
46,45,M,96,463,697915
47,34,F,57,731,363745
48,29,M,47,808,172323
49,46,F,101,472,337709
50,22,M,118,447,255653
51,40,F,10,627,478938
52,48,F,56,438,867900
53,67,F,117,739,720882
54,27,F,92,841,555099
55,64,F,52,359,371982
56,28,F,96,479,613566
57,67,F,96,319,660376
58,55,F,63,409,313106
59,34,F,51,585,470864
60,37,M,79,600,704672
61,56,M,70,503,564442
62,60,M,9,567,728713
63,24,M,102,671,481254
64,22,M,94,365,781301
65,26,F,41,514,196489
66,62,M,40,568,798751
67,24,M,16,829,860277
68,49,M,25,446,637704
69,38,M,10,454,754481
70,46,F,30,800,380899
71,64,F,9,329,324717
72,54,M,40,760,496438
73,30,M,57,742,169621
74,56,M,46,435,828685
75,34,M,119,874,226079
76,51,F,7,447,816175
77,68,F,43,446,536159
78,35,F,116,593,880701
79,28,M,48,756,139827
80,34,F,113,605,683611
81,43,M,119,689,142236
82,60,F,104,325,230969
83,41,F,76,399,587169
84,36,M,57,831,244816
85,65,F,17,660,223053
86,38,F,25,403,650639
87,67,M,111,710,807828
88,44,F,7,320,668442
89,46,F,55,502,605773
90,45,M,19,766,798763
91,65,F,81,389,221382
92,61,M,32,370,790869
93,49,M,87,899,808529
94,35,M,109,667,466844
95,65,M,32,451,462359
96,21,M,26,338,646727
97,45,M,72,383,201378
98,27,M,22,504,383010
99,29,M,110,868,776611
100,44,M,55,615,437566
101,21,M,57,450,448485
102,64,M,8,376,289648
103,28,M,46,721,787881
104,44,M,5,613,577507
105,31,F,12,463,340189
106,37,M,27,867,882469
107,28,M,84,468,615702
108,55,M,11,688,662542
109,55,F,36,886,819077
110,53,M,52,811,670854
