prestamo_id,fecha_pago,monto_pagado
P044125,2023-01-15,98254
P036218,2022-03-14,94034
P043577,2022-12-24,28074
P046840,2022-06-23,18937
P009363,2022-11-27,10407
P047944,2023-02-18,117817
P041178,2022-11-16,87150
P009121,2022-04-06,25726
P024567,2022-02-07,74699
P018627,2022-06-06,52341
P009374,2022-10-25,22477
P007127,2022-12-17,69805
P044952,2022-05-01,49493
P021921,2022-03-28,25324
P019441,2022-03-10,108403
P048726,2022-06-01,68870
P041242,2022-12-30,59845
P014698,2022-09-03,103331
P036792,2022-04-22,49329
P025780,2023-02-26,9054
P032457,2023-02-17,84030
P049988,2022-09-08,28569
P018483,2022-04-10,64913
P046287,2022-04-14,60540
P026411,2022-07-19,30338
P003278,2022-05-16,73358
P002648,2022-12-17,76610
P010287,2022-08-25,47256
P007972,2022-10-31,61729
P005726,2022-08-19,106597
P012998,2022-06-24,15094
P005648,2022-02-26,56626
P046253,2022-03-06,81754
P039020,2022-09-08,74666
P009508,2022-08-29,99710
P005989,2022-05-14,17813
P033978,2022-02-03,104631
P012738,2022-05-27,36264
P010862,2022-02-21,111778
P003975,2022-06-21,42776
P035626,2022-10-22,7242
P025433,2022-12-02,73807
P035841,2022-11-04,44829
P012568,2022-07-07,62926
P019802,2022-03-22,61736
P044341,2022-05-27,38549
P048459,2023-03-06,26475
P024305,2022-11-09,67427
P044998,2022-08-15,42550
P009157,2022-05-27,99995
P033028,2022-08-25,104763
P017377,2022-07-12,54110
P014265,2022-05-11,88731
P026634,2022-09-29,52436
P035206,2022-11-17,101484
P027269,2022-07-06,31765
P003681,2022-07-05,37762
P047708,2022-12-04,11116
P016234,2022-09-22,76623
P014964,2023-03-07,105401
P015145,2022-11-07,61418
P041598,2022-02-08,55439
P000794,2022-10-23,45617
P003733,2022-07-15,55613
P040822,2022-10-17,26891
P023225,2022-12-28,91357
P012655,2022-03-10,78245
P046932,2022-12-29,15923
P037177,2022-05-07,38966
P004096,2022-02-19,91054
P036811,2022-08-31,6974
P042638,2022-08-17,58465
P036557,2022-11-08,90944
P005982,2022-05-10,18737
