prestamo_id,cliente_id,fecha_otorgado,monto,tasa,plazo_meses,estado
P000001,35031,2022-01-01 00:00:00,318517,47,18,vigente
P000002,3618,2022-01-01 01:00:00,454197,59,9,incobrable
P000003,15657,2022-01-01 02:00:00,114633,53,24,atrasado
P000004,4239,2022-01-01 03:00:00,421485,62,12,atrasado
P000005,38130,2022-01-01 04:00:00,343387,59,24,incobrable
P000006,35898,2022-01-01 05:00:00,233692,62,36,vigente
P000007,11046,2022-01-01 06:00:00,456899,53,36,incobrable
P000008,38963,2022-01-01 07:00:00,487721,47,36,atrasado
P000009,10803,2022-01-01 08:00:00,152922,62,9,atrasado
P000010,29169,2022-01-01 09:00:00,74917,62,36,judicial
P000011,39166,2022-01-01 10:00:00,439042,47,18,atrasado
P000012,43515,2022-01-01 11:00:00,172415,47,24,incobrable
P000013,45457,2022-01-01 12:00:00,479368,59,24,judicial
P000014,7623,2022-01-01 13:00:00,203394,62,12,incobrable
P000015,22784,2022-01-01 14:00:00,128367,47,36,vigente
P000016,39682,2022-01-01 15:00:00,437972,47,18,judicial
P000017,45264,2022-01-01 16:00:00,136894,47,18,vigente
P000018,10596,2022-01-01 17:00:00,152701,47,36,judicial
P000019,23089,2022-01-01 18:00:00,439859,47,24,vigente
P000020,22861,2022-01-01 19:00:00,444762,59,6,judicial
P000021,40276,2022-01-01 20:00:00,421305,47,9,judicial
P000022,48709,2022-01-01 21:00:00,352700,59,24,judicial
P000023,11230,2022-01-01 22:00:00,497616,59,18,incobrable
P000024,40860,2022-01-01 23:00:00,55673,47,36,vigente
P000025,21800,2022-01-02 00:00:00,311695,62,36,vigente
P000026,36195,2022-01-02 01:00:00,239923,59,24,vigente
P000027,31819,2022-01-02 02:00:00,256892,62,12,incobrable
P000028,2142,2022-01-02 03:00:00,245652,62,12,atrasado
P000029,13677,2022-01-02 04:00:00,283075,47,18,incobrable
P000030,39513,2022-01-02 05:00:00,293485,59,18,judicial
P000031,24522,2022-01-02 06:00:00,372909,62,18,judicial
P000032,45974,2022-01-02 07:00:00,50770,47,36,atrasado
P000033,10387,2022-01-02 08:00:00,418556,53,6,atrasado
P000034,7022,2022-01-02 09:00:00,482206,62,9,incobrable
P000035,34834,2022-01-02 10:00:00,222165,59,24,vigente
P000036,23762,2022-01-02 11:00:00,144651,59,24,vigente
P000037,13677,2022-01-02 12:00:00,52725,53,12,vigente
P000038,23750,2022-01-02 13:00:00,156483,53,9,judicial
P000039,6395,2022-01-02 14:00:00,126300,62,18,vigente
P000040,9545,2022-01-02 15:00:00,270712,59,9,atrasado
P000041,30474,2022-01-02 16:00:00,461239,53,18,vigente
P000042,27935,2022-01-02 17:00:00,264931,53,24,judicial
P000043,25041,2022-01-02 18:00:00,451644,47,24,judicial
P000044,25143,2022-01-02 19:00:00,328246,59,12,vigente
P000045,36866,2022-01-02 20:00:00,439776,53,18,incobrable
P000046,19512,2022-01-02 21:00:00,146913,59,24,incobrable
P000047,44415,2022-01-02 22:00:00,285022,53,9,incobrable
P000048,31,2022-01-02 23:00:00,69405,62,12,atrasado
P000049,23859,2022-01-03 00:00:00,225427,62,9,atrasado
P000050,29622,2022-01-03 01:00:00,381364,62,18,vigente
P000051,5371,2022-01-03 02:00:00,417185,59,6,judicial
P000052,5238,2022-01-03 03:00:00,437818,59,9,incobrable
P000053,28967,2022-01-03 04:00:00,295503,59,18,atrasado
P000054,8045,2022-01-03 05:00:00,445115,62,12,vigente
P000055,359,2022-01-03 06:00:00,141860,53,9,judicial
P000056,12583,2022-01-03 07:00:00,124545,53,6,judicial
P000057,8574,2022-01-03 08:00:00,219383,62,12,incobrable
P000058,15442,2022-01-03 09:00:00,484033,53,12,atrasado
P000059,45353,2022-01-03 10:00:00,486809,59,9,incobrable
P000060,45247,2022-01-03 11:00:00,404990,53,12,judicial
P000061,26179,2022-01-03 12:00:00,475951,47,36,vigente
P000062,11146,2022-01-03 13:00:00,360775,53,24,judicial
P000063,24316,2022-01-03 14:00:00,291039,59,36,atrasado
P000064,40300,2022-01-03 15:00:00,258127,47,12,vigente
P000065,21697,2022-01-03 16:00:00,251958,59,36,vigente
P000066,23249,2022-01-03 17:00:00,159467,59,24,judicial
P000067,17038,2022-01-03 18:00:00,253594,59,6,vigente
P000068,31193,2022-01-03 19:00:00,337499,47,9,atrasado
P000069,19960,2022-01-03 20:00:00,158379,47,24,judicial
P000070,23342,2022-01-03 21:00:00,333348,47,36,atrasado
P000071,46594,2022-01-03 22:00:00,292651,62,9,vigente
P000072,24932,2022-01-03 23:00:00,141271,47,36,incobrable
P000073,41322,2022-01-04 00:00:00,98646,53,18,incobrable
P000074,20822,2022-01-04 01:00:00,474547,59,9,vigente
P000075,8221,2022-01-04 02:00:00,30827,53,6,vigente
P000076,757,2022-01-04 03:00:00,434188,59,18,judicial
P000077,20975,2022-01-04 04:00:00,225354,53,12,judicial
P000078,30669,2022-01-04 05:00:00,122098,53,36,vigente
P000079,12647,2022-01-04 06:00:00,309828,53,6,incobrable
P000080,1572,2022-01-04 07:00:00,46710,47,12,incobrable
P000081,41707,2022-01-04 08:00:00,462840,53,9,judicial
P000082,9667,2022-01-04 09:00:00,270966,53,6,vigente
P000083,43361,2022-01-04 10:00:00,423485,47,24,vigente
P000084,11222,2022-01-04 11:00:00,347775,47,12,incobrable
P000085,38648,2022-01-04 12:00:00,266134,53,24,vigente
P000086,41373,2022-01-04 13:00:00,240338,62,12,vigente
P000087,28295,2022-01-04 14:00:00,79870,62,6,atrasado
P000088,30446,2022-01-04 15:00:00,316594,62,6,incobrable
P000089,34017,2022-01-04 16:00:00,340742,62,36,judicial
P000090,8098,2022-01-04 17:00:00,433329,47,6,vigente
P000091,45318,2022-01-04 18:00:00,307280,62,36,vigente
P000092,10333,2022-01-04 19:00:00,225502,59,24,judicial
P000093,4724,2022-01-04 20:00:00,229698,62,6,judicial
P000094,33489,2022-01-04 21:00:00,158430,62,18,incobrable
P000095,26151,2022-01-04 22:00:00,141429,59,12,atrasado
P000096,1872,2022-01-04 23:00:00,447160,59,18,incobrable
P000097,37755,2022-01-05 00:00:00,414876,47,18,atrasado
P000098,926,2022-01-05 01:00:00,302721,47,12,incobrable
P000099,44604,2022-01-05 02:00:00,403162,53,36,judicial
P000100,13134,2022-01-05 03:00:00,237987,47,9,atrasado
P000101,13781,2022-01-05 04:00:00,383271,62,24,incobrable
P000102,40905,2022-01-05 05:00:00,233193,59,12,incobrable
P000103,8938,2022-01-05 06:00:00,262317,59,36,vigente
P000104,13545,2022-01-05 07:00:00,89194,47,12,judicial
P000105,43295,2022-01-05 08:00:00,135100,53,18,atrasado
P000106,2108,2022-01-05 09:00:00,225675,62,12,vigente
P000107,22557,2022-01-05 10:00:00,71309,47,6,vigente
P000108,27132,2022-01-05 11:00:00,119740,59,36,atrasado
P000109,42710,2022-01-05 12:00:00,342091,47,12,judicial
P000110,45377,2022-01-05 13:00:00,37901,62,9,judicial
P000111,21135,2022-01-05 14:00:00,472623,59,18,vigente
P000112,28458,2022-01-05 15:00:00,167270,53,36,incobrable
P000113,44763,2022-01-05 16:00:00,389744,59,6,judicial
P000114,43085,2022-01-05 17:00:00,172738,53,36,incobrable
P000115,17483,2022-01-05 18:00:00,410579,53,9,incobrable
P000116,15690,2022-01-05 19:00:00,253928,59,6,vigente
P000117,20539,2022-01-05 20:00:00,220384,53,6,judicial
P000118,11033,2022-01-05 21:00:00,106662,53,18,judicial
P000119,34552,2022-01-05 22:00:00,246706,53,6,incobrable
P000120,20487,2022-01-05 23:00:00,281100,47,36,atrasado
P000121,45120,2022-01-06 00:00:00,228675,59,9,atrasado
P000122,5118,2022-01-06 01:00:00,65791,53,18,atrasado
P000123,4628,2022-01-06 02:00:00,414241,53,12,judicial
P000124,42240,2022-01-06 03:00:00,435624,59,12,vigente
P000125,14063,2022-01-06 04:00:00,312707,62,9,incobrable
P000126,25917,2022-01-06 05:00:00,247878,62,6,incobrable
P000127,14831,2022-01-06 06:00:00,476131,47,18,judicial
P000128,36765,2022-01-06 07:00:00,434007,47,36,judicial
P000129,33844,2022-01-06 08:00:00,382441,59,12,judicial
P000130,14955,2022-01-06 09:00:00,422745,47,36,judicial
P000131,35005,2022-01-06 10:00:00,368211,53,9,judicial
P000132,4709,2022-01-06 11:00:00,362415,59,24,atrasado
P000133,34015,2022-01-06 12:00:00,212316,59,9,judicial
P000134,20581,2022-01-06 13:00:00,165073,59,9,judicial
P000135,23954,2022-01-06 14:00:00,61277,47,36,atrasado
P000136,35929,2022-01-06 15:00:00,130864,53,9,atrasado
P000137,17594,2022-01-06 16:00:00,211309,53,36,incobrable
P000138,18714,2022-01-06 17:00:00,345183,47,6,incobrable
P000139,273,2022-01-06 18:00:00,300207,59,36,vigente
P000140,19155,2022-01-06 19:00:00,442647,47,9,incobrable
P000141,14486,2022-01-06 20:00:00,376852,47,24,vigente
P000142,26716,2022-01-06 21:00:00,212973,62,9,incobrable
P000143,40226,2022-01-06 22:00:00,312815,62,9,atrasado
P000144,10366,2022-01-06 23:00:00,34785,47,18,vigente
P000145,2334,2022-01-07 00:00:00,126956,62,24,judicial
P000146,17906,2022-01-07 01:00:00,62020,47,6,incobrable
P000147,47796,2022-01-07 02:00:00,403638,62,18,incobrable
P000148,49806,2022-01-07 03:00:00,369850,47,9,incobrable
P000149,40517,2022-01-07 04:00:00,260841,59,18,atrasado
P000150,18730,2022-01-07 05:00:00,124406,62,18,atrasado
P000151,19741,2022-01-07 06:00:00,302134,53,6,incobrable
P000152,24930,2022-01-07 07:00:00,403902,59,18,judicial
P000153,34741,2022-01-07 08:00:00,178773,53,9,vigente
P000154,23927,2022-01-07 09:00:00,178387,53,12,atrasado
P000155,22702,2022-01-07 10:00:00,324949,62,24,atrasado
P000156,15553,2022-01-07 11:00:00,196649,47,18,atrasado
P000157,8456,2022-01-07 12:00:00,441849,47,9,atrasado
P000158,42680,2022-01-07 13:00:00,269019,62,12,atrasado
P000159,8209,2022-01-07 14:00:00,58745,47,9,vigente
P000160,4344,2022-01-07 15:00:00,95058,62,6,judicial
P000161,45324,2022-01-07 16:00:00,366267,47,36,judicial
P000162,31826,2022-01-07 17:00:00,402942,47,6,vigente
P000163,24666,2022-01-07 18:00:00,124503,62,24,atrasado
P000164,4605,2022-01-07 19:00:00,424526,62,36,vigente
P000165,22236,2022-01-07 20:00:00,35153,62,9,atrasado
P000166,5762,2022-01-07 21:00:00,471391,47,6,incobrable
P000167,25987,2022-01-07 22:00:00,466266,62,18,atrasado
P000168,13079,2022-01-07 23:00:00,45940,59,12,incobrable
P000169,1321,2022-01-08 00:00:00,406919,53,9,incobrable
P000170,11927,2022-01-08 01:00:00,186229,62,18,atrasado
P000171,660,2022-01-08 02:00:00,367991,62,36,vigente
P000172,39160,2022-01-08 03:00:00,140651,53,9,incobrable
P000173,29927,2022-01-08 04:00:00,300544,62,12,incobrable
P000174,9588,2022-01-08 05:00:00,103493,62,18,vigente
P000175,3926,2022-01-08 06:00:00,67526,53,18,incobrable
P000176,31694,2022-01-08 07:00:00,485241,53,9,vigente
P000177,23425,2022-01-08 08:00:00,469413,47,9,incobrable
P000178,13672,2022-01-08 09:00:00,307934,53,6,atrasado
P000179,22778,2022-01-08 10:00:00,403776,53,9,judicial
P000180,49251,2022-01-08 11:00:00,292050,47,18,atrasado
P000181,43734,2022-01-08 12:00:00,469614,59,24,atrasado
P000182,1899,2022-01-08 13:00:00,378746,62,9,judicial
P000183,45578,2022-01-08 14:00:00,89052,47,12,atrasado
P000184,22239,2022-01-08 15:00:00,109853,62,9,incobrable
P000185,1866,2022-01-08 16:00:00,414160,53,24,incobrable
P000186,28364,2022-01-08 17:00:00,369180,62,24,vigente
P000187,9216,2022-01-08 18:00:00,263195,62,36,judicial
P000188,21400,2022-01-08 19:00:00,119081,59,36,judicial
P000189,10103,2022-01-08 20:00:00,369702,59,6,atrasado
P000190,20833,2022-01-08 21:00:00,228579,59,9,incobrable
P000191,40985,2022-01-08 22:00:00,89713,53,9,atrasado
P000192,7363,2022-01-08 23:00:00,159080,47,24,judicial
P000193,22999,2022-01-09 00:00:00,182364,62,9,judicial
P000194,29279,2022-01-09 01:00:00,364371,62,36,vigente
P000195,2934,2022-01-09 02:00:00,418425,59,24,incobrable
P000196,47712,2022-01-09 03:00:00,338342,47,36,judicial
P000197,10258,2022-01-09 04:00:00,266046,62,24,judicial
P000198,45042,2022-01-09 05:00:00,322678,53,24,atrasado
P000199,41850,2022-01-09 06:00:00,415788,59,12,atrasado
P000200,24539,2022-01-09 07:00:00,414242,47,36,judicial
P000201,29768,2022-01-09 08:00:00,376023,59,9,vigente
P000202,17270,2022-01-09 09:00:00,132639,53,24,judicial
P000203,44880,2022-01-09 10:00:00,406088,47,36,judicial
P000204,23827,2022-01-09 11:00:00,213517,59,9,judicial
P000205,42644,2022-01-09 12:00:00,267863,62,18,vigente
P000206,8200,2022-01-09 13:00:00,281310,62,24,incobrable
P000207,3350,2022-01-09 14:00:00,269662,62,9,atrasado
P000208,20422,2022-01-09 15:00:00,414330,53,24,judicial
P000209,8558,2022-01-09 16:00:00,311156,62,36,vigente
P000210,26763,2022-01-09 17:00:00,274518,47,18,judicial
P000211,37742,2022-01-09 18:00:00,149253,59,24,incobrable
P000212,2620,2022-01-09 19:00:00,248760,59,18,atrasado
P000213,47210,2022-01-09 20:00:00,383642,59,9,incobrable
P000214,24053,2022-01-09 21:00:00,432818,59,9,incobrable
P000215,3599,2022-01-09 22:00:00,280799,62,36,incobrable
P000216,280,2022-01-09 23:00:00,294456,62,24,incobrable
P000217,3786,2022-01-10 00:00:00,455748,53,18,atrasado
P000218,2946,2022-01-10 01:00:00,329395,47,9,incobrable
P000219,450,2022-01-10 02:00:00,419217,53,24,incobrable
P000220,4383,2022-01-10 03:00:00,237259,47,9,incobrable
P000221,13665,2022-01-10 04:00:00,209005,47,36,judicial
P000222,27930,2022-01-10 05:00:00,312861,59,18,atrasado
P000223,7893,2022-01-10 06:00:00,411306,62,36,atrasado
P000224,37779,2022-01-10 07:00:00,354955,62,36,atrasado
P000225,18669,2022-01-10 08:00:00,464548,47,6,judicial
P000226,32132,2022-01-10 09:00:00,412704,47,18,judicial
P000227,39684,2022-01-10 10:00:00,255592,47,12,incobrable
P000228,28383,2022-01-10 11:00:00,255083,62,18,judicial
P000229,9756,2022-01-10 12:00:00,246348,53,24,vigente
P000230,20236,2022-01-10 13:00:00,462815,53,9,vigente
P000231,49619,2022-01-10 14:00:00,497368,53,24,vigente
P000232,25401,2022-01-10 15:00:00,169103,59,18,vigente
P000233,31581,2022-01-10 16:00:00,447556,62,24,vigente
P000234,23476,2022-01-10 17:00:00,118205,47,36,incobrable
P000235,40828,2022-01-10 18:00:00,191949,59,18,vigente
P000236,16139,2022-01-10 19:00:00,266482,53,36,vigente
P000237,20998,2022-01-10 20:00:00,230395,47,18,atrasado
P000238,40980,2022-01-10 21:00:00,195241,53,24,incobrable
P000239,22953,2022-01-10 22:00:00,352538,62,9,judicial
P000240,48417,2022-01-10 23:00:00,175921,53,36,atrasado
P000241,38767,2022-01-11 00:00:00,200757,62,12,atrasado
P000242,9870,2022-01-11 01:00:00,242772,47,12,vigente
P000243,38408,2022-01-11 02:00:00,438110,47,24,judicial
P000244,21742,2022-01-11 03:00:00,147885,59,12,judicial
P000245,47692,2022-01-11 04:00:00,148174,53,12,atrasado
P000246,46651,2022-01-11 05:00:00,347794,47,12,vigente
P000247,42110,2022-01-11 06:00:00,229080,59,18,vigente
